"","Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season","idseason"
"1",1,"Regular Season","1-1","KHI","MAC",89,83,24,24,27,14,21,19,21,22,0,0,"KHI","MAC",1,0,"2019-2020","1-1_2019-2020"
"2",1,"Regular Season","1-2","PAN","CRV",87,82,14,23,29,21,17,18,18,29,0,0,"PAN","CRV",1,0,"2019-2020","1-2_2019-2020"
"3",1,"Regular Season","1-3","BAY","MIL",78,64,22,20,19,17,23,11,16,14,0,0,"BAY","MIL",1,0,"2019-2020","1-3_2019-2020"
"4",1,"Regular Season","1-4","RMB","FEN",81,77,30,13,21,17,21,21,13,22,0,0,"RMB","FEN",1,0,"2019-2020","1-4_2019-2020"
"5",1,"Regular Season","1-5","ZAL","BAS",58,70,19,11,16,12,19,18,18,15,0,0,"BAS","ZAL",0,1,"2019-2020","1-5_2019-2020"
"6",1,"Regular Season","1-6","EFE","BAR",64,74,14,12,20,18,19,18,12,25,0,0,"BAR","EFE",0,1,"2019-2020","1-6_2019-2020"
"7",1,"Regular Season","1-7","BER","ZEN",85,65,24,23,20,18,18,13,19,15,0,0,"BER","ZEN",1,0,"2019-2020","1-7_2019-2020"
"8",1,"Regular Season","1-8","VIL","OLY",82,63,21,19,16,26,24,9,14,16,0,0,"VIL","OLY",1,0,"2019-2020","1-8_2019-2020"
"9",1,"Regular Season","1-9","VAL","CSK",71,96,17,21,16,17,24,26,26,20,0,0,"CSK","VAL",0,1,"2019-2020","1-9_2019-2020"
"10",2,"Regular Season","2-1","CSK","BAY",79,68,22,25,13,19,18,22,10,18,0,0,"CSK","BAY",1,0,"2019-2020","2-1_2019-2020"
"11",2,"Regular Season","2-2","CRV","FEN",68,56,15,20,16,17,16,14,13,13,0,0,"CRV","FEN",1,0,"2019-2020","2-2_2019-2020"
"12",2,"Regular Season","2-3","VIL","PAN",79,78,22,18,10,29,22,24,17,15,0,0,"VIL","PAN",1,0,"2019-2020","2-3_2019-2020"
"13",2,"Regular Season","2-4","RMB","MAC",86,85,22,28,15,21,22,22,21,20,0,0,"RMB","MAC",1,0,"2019-2020","2-4_2019-2020"
