"Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"EFE","RMB","1_1","Regular Season","Fabien  Causeur",23,6,2,3,66.7,0,2,0,2,2,100,0,1,1,3,0,1,0,0,3,1,4,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,0.86,6.6,90.9,0.02,45.5,3,40,0.4,3.5,51,15.15,3.1,0,"2017-2018"
"EFE","RMB","1_1","Regular Season","Felipe  Reyes",14,10,5,6,83.3,0,0,NA,0,1,0,2,2,4,1,0,0,0,1,2,3,13,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1.43,4.3,232.6,0.06,23.3,Inf,83.3,0.17,9.3,77.6,0,4.7,11.1,"2017-2018"
"EFE","RMB","1_1","Regular Season","Facundo  Campazzo",18,6,0,0,NA,2,6,33.3,0,0,NA,0,3,3,0,0,2,0,0,2,3,4,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1,7.7,77.9,0.01,0,0,50,0,0.7,50,25.97,4.5,0,"2017-2018"
"EFE","RMB","1_1","Regular Season","Gustavo  Ayon",33,16,7,11,63.6,0,0,NA,2,2,100,3,7,10,4,3,2,2,0,2,3,30,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1.23,10.4,153.8,0.16,38.5,2,63.6,0.18,19.7,67.3,19.23,4.3,16.7,"2017-2018"
"EFE","RMB","1_1","Regular Season","Jeffery  Taylor",29,3,0,1,0,1,2,50,0,0,NA,0,1,1,0,0,1,1,1,3,1,-1,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1,3.8,78.9,-0.01,0,0,50,0,0.1,50,26.32,1.4,0,"2017-2018"
"EFE","RMB","1_1","Regular Season","Chasson  Randle",3,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,3,0,-2,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,NA,0,NA,-0.01,Inf,Inf,NA,NA,-0.5,NA,NA,0,0,"2017-2018"
"EFE","RMB","1_1","Regular Season","Anthony  Randolph",26,12,2,4,50,2,4,50,2,2,100,2,6,8,3,1,1,0,0,1,3,21,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1.2,7.6,157.9,0.11,39.5,3,62.5,0.25,12.9,67.6,13.16,3.9,11.1,"2017-2018"
"EFE","RMB","1_1","Regular Season","Luka  Doncic",27,27,6,8,75,3,6,50,6,7,85.7,2,2,4,4,0,2,0,0,1,6,32,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1.29,16.4,164.6,0.16,24.4,2,75,0.5,22.8,79,12.2,7.2,11.1,"2017-2018"
"EFE","RMB","1_1","Regular Season","Jonas  Maciulis",6,0,0,0,NA,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,-3,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,0,1.9,0,-0.02,0,NA,0,0,-1.8,0,0,3.4,0,"2017-2018"
"EFE","RMB","1_1","Regular Season","Jaycee  Carroll",13,6,3,3,100,0,3,0,0,0,NA,0,1,1,0,1,0,0,0,1,1,5,"A","W",88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,88,38,25,14,26,8,12,16,9,26,35,5,9,3,22,103,1,5.8,103.4,0.03,0,NA,50,0,3.9,50,0,4.7,0,"2017-2018"
