"","Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"1","BAR","EFE","1-1","Regular Season","Shane  Larkin",32,16,6,7,85.7,1,5,20,1,1,100,0,0,0,12,2,1,0,0,1,3,26,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,1.23,12.9,124,0.18,93,12,62.5,0.08,19.4,64.3,7.75,4.3,0,"2023-2024"
"2","BAR","EFE","1-1","Regular Season","Darius  Thompson",26,2,1,5,20,0,2,0,0,0,NA,1,1,2,3,1,3,0,0,3,1,-3,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,0.29,8.6,23.3,-0.04,34.9,1,14.3,0,-2.6,14.3,34.88,3.9,8.3,"2023-2024"
"3","BAR","EFE","1-1","Regular Season","Erkan  Yilmaz",10,3,0,0,NA,1,1,100,0,0,NA,0,0,0,1,1,0,0,0,1,0,4,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,3,1,300,0.03,100,Inf,150,0,4,150,0,1,0,"2023-2024"
"4","BAR","EFE","1-1","Regular Season","Derek  Willis",27,8,1,2,50,2,6,33.3,0,0,NA,2,4,6,2,2,1,1,1,1,1,12,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,1,6.7,119.4,0.08,29.9,2,50,0,8.9,50,14.93,3.4,16.7,"2023-2024"
"5","BAR","EFE","1-1","Regular Season","Ante  Zizic",18,9,4,4,100,0,0,NA,1,2,50,0,3,3,2,0,1,0,0,0,2,14,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,1.5,5.6,160.7,0.1,35.7,2,100,0.5,8.7,92.2,17.86,3.3,0,"2023-2024"
"6","BAR","EFE","1-1","Regular Season","Rodrigue  Beaubois",15,4,0,1,0,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,0.57,5.1,78.4,-0.01,0,NA,37.5,0.75,0.8,37.6,0,3.6,0,"2023-2024"
"7","BAR","EFE","1-1","Regular Season","Elijah  Bryant",16,10,2,5,40,2,4,50,0,0,NA,1,1,2,3,0,1,0,1,1,3,10,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,1.11,8.6,116.3,0.06,34.9,3,55.6,0,7,55.6,11.63,6.4,8.3,"2023-2024"
"8","BAR","EFE","1-1","Regular Season","Will  Clyburn",27,7,2,8,25,1,4,25,0,0,NA,1,3,4,1,2,1,0,1,3,3,3,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,0.58,11.5,60.9,0,8.7,1,29.2,0,1.9,29.2,8.7,4.9,8.3,"2023-2024"
"9","BAR","EFE","1-1","Regular Season","Tibor  Pleiss",4,5,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,3,0,2,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,2.5,1.9,263.2,0.02,0,NA,125,0,3.2,125,0,5.1,0,"2023-2024"
"10","BAR","EFE","1-1","Regular Season","Justus  Hollatz",3,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,-2,"A","L",74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,74,40,27,6,22,9,3,24,6,15,21,9,9,1,15,78,0,1,0,-0.02,0,NA,0,0,-1.1,0,0,3.4,0,"2023-2024"
