"Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season"
1,"Regular Season","1_1","BAR","EFE",91,74,22,18,29,22,19,15,30,10,0,0,"BAR","EFE",1,0,"2023-2024"
1,"Regular Season","1_2","BAY","BER",80,68,19,17,25,19,17,27,7,17,0,0,"BAY","BER",1,0,"2023-2024"
1,"Regular Season","1_3","MAC","PAR",96,81,27,28,19,22,16,27,15,23,0,0,"MAC","PAR",1,0,"2023-2024"
1,"Regular Season","1_4","CRV","VIL",94,73,29,23,17,25,18,13,24,18,0,0,"CRV","VIL",1,0,"2023-2024"
1,"Regular Season","1_5","BOL","ZAL",79,82,23,19,23,14,15,22,21,24,0,0,"ZAL","BOL",0,1,"2023-2024"
1,"Regular Season","1_6","PAN","OLY",78,88,22,21,16,15,23,13,16,22,4,14,"OLY","PAN",0,1,"2023-2024"
1,"Regular Season","1_7","FEN","MIL",85,83,19,19,24,14,23,12,19,22,9,7,"FEN","MIL",1,0,"2023-2024"
1,"Regular Season","1_8","VAL","ASM",70,65,17,22,14,17,20,18,13,14,0,0,"VAL","ASM",1,0,"2023-2024"
1,"Regular Season","1_9","BAS","RMB",77,79,23,24,20,10,19,24,19,17,0,0,"RMB","BAS",0,1,"2023-2024"
2,"Regular Season","2_1","BER","BAS",86,91,21,26,14,25,25,26,25,15,0,0,"BAS","BER",0,1,"2023-2024"
2,"Regular Season","2_2","EFE","RMB",80,103,24,17,19,20,26,29,25,23,0,0,"RMB","EFE",0,1,"2023-2024"
2,"Regular Season","2_4","PAN","BAY",78,71,23,14,17,24,11,19,18,23,0,0,"PAN","BAY",1,0,"2023-2024"
2,"Regular Season","2_5","VIL","PAR",62,88,13,16,19,14,17,26,29,16,0,0,"PAR","VIL",0,1,"2023-2024"
2,"Regular Season","2_6","ASM","BOL",59,83,15,18,15,11,23,25,22,13,0,0,"BOL","ASM",0,1,"2023-2024"
2,"Regular Season","2_7","OLY","BAR",68,77,16,18,20,14,23,17,16,21,0,0,"BAR","OLY",0,1,"2023-2024"
2,"Regular Season","2_8","VAL","FEN",77,74,22,17,19,19,9,24,20,21,0,0,"VAL","FEN",1,0,"2023-2024"
2,"Regular Season","2_9","ZAL","CRV",79,74,19,16,15,29,21,17,18,18,0,0,"ZAL","CRV",1,0,"2023-2024"
2,"Regular Season","2_3","MIL","MAC",90,98,32,20,20,18,25,25,25,23,0,0,"MAC","MIL",0,1,"2023-2024"
3,"Regular Season","3_1","EFE","VIL",89,84,24,19,27,19,24,11,21,28,0,0,"EFE","VIL",1,0,"2023-2024"
3,"Regular Season","3_2","MIL","OLY",65,53,19,12,13,21,17,15,9,12,0,0,"MIL","OLY",1,0,"2023-2024"
3,"Regular Season","3_3","PAR","BAR",83,92,16,18,26,23,23,21,25,23,0,0,"BAR","PAR",0,1,"2023-2024"
3,"Regular Season","3_4","RMB","ZAL",93,79,25,28,19,21,19,24,19,17,0,0,"RMB","ZAL",1,0,"2023-2024"
3,"Regular Season","3_5","FEN","PAN",83,69,27,16,24,16,9,19,17,24,0,0,"FEN","PAN",1,0,"2023-2024"
