Fixture,Phase,IDGAME,Home,Away,Home_Points,Away_Points,Q1H,Q2H,Q3H,Q4H,Q1A,Q2A,Q3A,Q4A,EXH,EXA,Winner,Loser,Home_win,Away_win,Season
1,Regular Season,1_1,EFE,MAC,85,78,21,19,20,25,19,25,15,19,0,0,EFE,MAC,1,0,2025-2026
1,Regular Season,1_2,BAS,OLY,96,102,20,28,22,26,27,22,24,29,0,0,OLY,BAS,0,1,2025-2026
1,Regular Season,1_3,CRV,MIL,82,92,20,21,22,19,22,23,24,23,0,0,MIL,CRV,0,1,2025-2026
1,Regular Season,1_4,DUB,PAR,89,76,28,19,21,21,18,22,16,20,0,0,DUB,PAR,1,0,2025-2026
1,Regular Season,1_5,HTA,BAR,103,87,26,25,31,21,26,19,25,17,0,0,HTA,BAR,1,0,2025-2026
1,Regular Season,1_6,PAN,BAY,87,79,23,24,21,19,22,19,20,18,0,0,PAN,BAY,1,0,2025-2026
1,Regular Season,1_7,BOL,RMB,74,68,14,24,17,19,19,16,15,18,0,0,BOL,RMB,1,0,2025-2026
1,Regular Season,1_8,FEN,PRB,96,77,25,18,27,26,19,21,19,18,0,0,FEN,PRB,1,0,2025-2026
1,Regular Season,1_9,ASM,ZAL,84,89,20,15,25,24,27,18,22,22,0,0,ZAL,ASM,0,1,2025-2026
1,Regular Season,1_10,VIL,VAL,77,80,18,17,26,16,19,15,26,20,0,0,VAL,VIL,0,1,2025-2026
2,Regular Season,2_1,BAY,CRV,97,88,24,26,27,20,28,27,16,17,0,0,BAY,CRV,1,0,2025-2026
2,Regular Season,2_2,PAR,MIL,80,78,21,24,24,11,19,14,29,16,0,0,PAR,MIL,1,0,2025-2026
2,Regular Season,2_3,RMB,OLY,89,77,19,28,17,25,29,24,16,8,0,0,RMB,OLY,1,0,2025-2026
2,Regular Season,2_4,EFE,HTA,81,87,22,24,13,22,21,14,26,26,0,0,HTA,EFE,0,1,2025-2026
2,Regular Season,2_5,MAC,PRB,94,101,20,21,22,31,27,21,26,27,0,0,PRB,MAC,0,1,2025-2026
2,Regular Season,2_6,ASM,DUB,103,81,26,24,29,24,23,23,13,22,0,0,ASM,DUB,1,0,2025-2026
2,Regular Season,2_7,VIL,BAS,102,95,26,22,29,25,33,12,21,29,0,0,VIL,BAS,1,0,2025-2026
2,Regular Season,2_8,PAN,BAR,96,103,17,28,24,27,26,25,24,28,0,0,BAR,PAN,0,1,2025-2026
2,Regular Season,2_9,VAL,BOL,103,94,26,23,26,28,23,23,25,23,0,0,VAL,BOL,1,0,2025-2026
2,Regular Season,2_10,ZAL,FEN,84,81,29,14,22,19,20,17,16,28,0,0,ZAL,FEN,1,0,2025-2026
3,Regular Season,3_1,HTA,MAC,90,103,25,20,25,20,24,21,27,31,0,0,MAC,HTA,0,1,2025-2026
3,Regular Season,3_2,BAS,PAN,84,86,14,22,20,28,20,22,29,15,0,0,PAN,BAS,0,1,2025-2026
3,Regular Season,3_3,MIL,ASM,79,82,17,19,26,17,22,19,25,16,0,0,ASM,MIL,0,1,2025-2026
3,Regular Season,3_4,PRB,BOL,90,79,24,25,23,18,24,16,20,19,0,0,PRB,BOL,1,0,2025-2026
3,Regular Season,3_5,RMB,VIL,85,72,27,21,18,19,19,18,16,19,0,0,RMB,VIL,1,0,2025-2026
3,Regular Season,3_6,PAR,EFE,93,87,31,24,16,22,24,19,26,18,0,0,PAR,EFE,1,0,2025-2026
3,Regular Season,3_7,OLY,DUB,86,67,23,20,28,15,16,15,21,15,0,0,OLY,DUB,1,0,2025-2026
3,Regular Season,3_8,BAR,VAL,108,102,26,22,30,30,25,24,26,27,0,0,BAR,VAL,1,0,2025-2026
3,Regular Season,3_9,BAY,ZAL,70,98,20,13,24,13,26,19,23,30,0,0,ZAL,BAY,0,1,2025-2026
3,Regular Season,3_10,FEN,CRV,81,86,17,13,18,33,25,18,13,30,0,0,CRV,FEN,0,1,2025-2026
4,Regular Season,4_1,CRV,ZAL,88,79,23,22,12,31,27,12,19,21,0,0,CRV,ZAL,1,0,2025-2026
4,Regular Season,4_2,BAY,MIL,64,53,16,12,18,18,14,19,7,13,0,0,BAY,MIL,1,0,2025-2026
4,Regular Season,4_3,FEN,DUB,69,93,20,11,17,21,25,21,25,22,0,0,DUB,FEN,0,1,2025-2026
